coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,748,424,18,11,5,5,0,85.0,,"""[100.37, 249.75, 29.59, 38.39, 6.81]""","""[]""",17.0
eth,748,403,12,10,7,6,1,71.3,-24.7,"""[41.13, 29.97, 270.68, 31.66, 40.52, 13.99]""","""[-24.67]""",16.2
eth,748,944,12,19,2,2,0,472.5,,"""[911.79, 33.13]""","""[]""",37.9
eth,748,1769,12,22,1,1,0,1769.2,,"""[1769.18]""","""[]""",71.0
eth,748,694,12,15,4,2,2,350.5,-3.2,"""[683.52, 17.53]""","""[-0.95, -5.36]""",27.9
eth,748,875,12,20,2,2,0,438.0,,"""[849.49, 26.5]""","""[]""",35.1
eth,748,456,12,8,10,6,4,88.6,-18.6,"""[50.91, 45.76, 311.42, 43.07, 56.07, 24.19]""","""[-18.01, -20.15, -23.21, -13.12]""",18.3
eth,748,858,12,21,2,2,0,429.4,,"""[836.81, 21.9]""","""[]""",34.4
eth,748,502,12,7,12,7,5,82.2,-14.5,"""[27.12, 2.4, 57.76, 335.61, 62.86, 62.44, 27.16]""","""[-11.33, -14.5, -17.69, -20.03, -9.19]""",20.2
eth,748,480,12,9,7,6,1,82.9,-16.1,"""[45.49, 44.78, 308.76, 41.16, 40.52, 16.42]""","""[-16.15]""",19.3
eth,748,351,12,11,7,6,1,63.0,-26.3,"""[34.97, 22.49, 249.75, 22.05, 38.39, 10.24]""","""[-26.26]""",14.1
eth,748,453,20,10,6,5,1,95.3,-22.5,"""[120.64, 270.24, 36.18, 40.52, 8.89]""","""[-22.51]""",18.2
eth,748,972,20,19,2,2,0,486.0,,"""[943.15, 28.94]""","""[]""",39.0
eth,748,801,20,22,2,2,0,400.7,,"""[787.36, 14.01]""","""[]""",32.1
eth,748,679,20,15,4,3,1,229.1,-7.8,"""[669.35, 0.52, 17.53]""","""[-7.82]""",27.3
eth,748,934,20,20,2,2,0,467.3,,"""[911.79, 22.83]""","""[]""",37.5
eth,748,505,20,8,8,6,2,90.2,-17.6,"""[41.13, 55.11, 311.42, 53.42, 59.44, 20.5]""","""[-21.51, -13.61]""",20.3
eth,748,884,20,21,2,2,0,442.4,,"""[865.12, 19.66]""","""[]""",35.5
eth,748,487,20,7,11,7,4,75.8,-10.8,"""[24.29, 56.17, 346.34, 7.87, 9.0, 62.44, 24.19]""","""[-2.89, -15.59, -15.54, -9.19]""",19.5
eth,748,470,20,9,7,6,1,81.2,-16.6,"""[34.97, 43.13, 308.76, 37.74, 48.69, 13.99]""","""[-16.64]""",18.9
eth,748,440,20,11,5,5,0,88.2,,"""[120.64, 249.75, 25.32, 38.39, 6.89]""","""[]""",17.7
eth,748,455,8,10,7,6,1,79.7,-22.5,"""[41.13, 31.47, 311.42, 39.85, 40.52, 13.99]""","""[-22.51]""",18.3
eth,748,957,8,19,3,2,1,486.0,-14.7,"""[966.37, 5.61]""","""[-14.72]""",38.4
eth,748,1769,8,22,1,1,0,1769.2,,"""[1769.18]""","""[]""",71.0
eth,748,742,8,15,4,2,2,377.4,-6.0,"""[729.22, 25.51]""","""[-7.29, -4.69]""",29.8
eth,748,943,8,20,2,2,0,471.6,,"""[908.07, 35.22]""","""[]""",37.8
eth,748,462,8,8,12,7,5,78.0,-16.8,"""[24.29, 4.85, 47.26, 321.55, 62.86, 61.35, 24.19]""","""[-11.33, -18.01, -18.46, -23.21, -13.12]""",18.5
eth,748,917,8,21,2,2,0,458.7,,"""[892.66, 24.65]""","""[]""",36.8
eth,748,461,8,7,13,7,6,75.0,-10.5,"""[27.54, 4.85, 47.26, 285.23, 70.38, 62.44, 27.16]""","""[-10.5, -0.63, -10.88, -14.56, -17.5, -9.19]""",18.5
eth,748,474,8,9,8,7,1,70.4,-17.9,"""[23.82, 1.38, 45.76, 311.42, 41.67, 49.03, 19.66]""","""[-17.87]""",19.0
eth,748,424,8,11,6,6,0,70.7,,"""[41.13, 29.97, 270.68, 31.66, 40.52, 10.24]""","""[]""",17.0
eth,748,452,19,10,6,5,1,95.1,-22.5,"""[120.64, 267.68, 36.18, 40.52, 10.24]""","""[-22.51]""",18.2
eth,748,974,19,19,2,2,0,487.2,,"""[943.15, 31.28]""","""[]""",39.1
eth,748,797,19,22,2,2,0,398.9,,"""[787.36, 10.49]""","""[]""",32.0
eth,748,682,19,15,4,3,1,230.3,-8.3,"""[672.43, 1.02, 17.53]""","""[-8.27]""",27.4
eth,748,919,19,20,2,2,0,459.7,,"""[892.97, 26.47]""","""[]""",36.9
