coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
btc,409,-49,8,18,3,0,3,,-16.4,"""[]""","""[-18.37, -19.2, -11.51]""",-3.6
btc,409,-43,8,17,3,0,3,,-14.4,"""[]""","""[-16.99, -15.91, -10.36]""",-3.2
btc,409,-52,8,19,3,0,3,,-17.5,"""[]""","""[-20.63, -20.38, -11.51]""",-3.8
btc,409,-44,8,10,5,0,5,,-8.9,"""[]""","""[-12.63, -4.98, -16.36, -2.31, -8.36]""",-3.3
btc,409,-43,8,9,6,0,6,,-7.2,"""[]""","""[-9.49, -2.36, -13.58, -1.68, -13.49, -2.45]""",-3.2
btc,409,-33,8,8,6,2,4,0.2,-8.5,"""[0.33, 0.15]""","""[-8.56, -0.08, -13.28, -12.04]""",-2.5
btc,409,-14,8,22,1,0,1,,-14.6,"""[]""","""[-14.63]""",-1.1
btc,409,-37,8,7,7,3,4,2.1,-10.8,"""[3.97, 0.33, 1.93]""","""[-4.29, -13.66, -13.28, -12.04]""",-2.7
btc,409,-26,8,21,1,0,1,,-26.5,"""[]""","""[-26.47]""",-1.9
btc,409,-56,8,20,3,0,3,,-18.8,"""[]""","""[-21.63, -23.36, -11.51]""",-4.1
btc,409,-28,17,18,1,0,1,,-28.5,"""[]""","""[-28.46]""",-2.1
btc,409,-62,17,17,3,0,3,,-20.8,"""[]""","""[-21.63, -20.38, -20.28]""",-4.6
btc,409,0,17,19,0,0,0,,,"""[]""","""[]""",0.0
btc,409,-46,17,10,4,0,4,,-11.5,"""[]""","""[-14.38, -8.25, -5.54, -17.84]""",-3.4
btc,409,-36,17,9,4,0,4,,-9.1,"""[]""","""[-12.34, -5.33, -3.09, -15.77]""",-2.7
btc,409,-39,17,8,6,1,5,0.3,-8.0,"""[0.33]""","""[-8.56, -1.85, -13.49, -10.05, -5.88]""",-2.9
btc,409,0,17,22,0,0,0,,,"""[]""","""[]""",0.0
btc,409,-46,17,7,8,1,7,0.3,-6.7,"""[0.33]""","""[-6.78, -0.08, -9.55, -10.47, -12.04, -3.81, -4.04]""",-3.4
