coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
btc,699,-19,10,14,6,2,4,14.0,-12.0,"""[19.53, 8.42]""","""[-16.17, -12.61, -18.28, -0.84]""",-0.9
btc,699,-29,10,15,6,2,4,12.4,-13.5,"""[19.53, 5.24]""","""[-17.98, -12.61, -19.04, -4.22]""",-1.2
btc,699,-22,10,16,6,2,4,12.0,-11.7,"""[18.73, 5.24]""","""[-18.37, -13.61, -10.36, -4.48]""",-1.0
btc,699,-29,10,17,6,2,4,12.0,-13.4,"""[18.73, 5.24]""","""[-19.74, -15.91, -11.51, -6.51]""",-1.3
btc,699,-41,10,18,6,2,4,9.0,-14.8,"""[13.38, 4.6]""","""[-21.99, -19.2, -11.51, -6.51]""",-1.8
btc,699,-46,10,19,6,2,4,7.3,-15.4,"""[13.38, 1.22]""","""[-24.37, -19.2, -11.51, -6.51]""",-2.0
btc,699,-27,10,20,5,1,4,13.4,-10.2,"""[13.38]""","""[-20.38, -12.52, -0.38, -7.34]""",-1.2
btc,699,-24,10,21,4,1,3,11.6,-12.0,"""[11.65]""","""[-26.47, -2.09, -7.34]""",-1.0
btc,699,-13,10,22,4,1,3,11.6,-8.5,"""[11.65]""","""[-14.63, -3.05, -7.88]""",-0.6
btc,699,22,11,7,19,6,13,17.3,-6.3,"""[0.33, 0.15, 28.54, 19.93, 8.72, 46.33]""","""[-6.78, -1.09, -11.43, -10.59, -9.04, -4.52, -4.39, -8.41, -7.43, -3.96, -8.54, -3.92, -1.55]""",1.0
btc,699,13,11,8,17,5,12,19.0,-6.8,"""[0.33, 24.74, 19.93, 3.87, 46.33]""","""[-7.2, -2.2, -13.28, -13.09, -2.45, -4.39, -8.96, -8.78, -3.96, -8.87, -4.22, -4.8]""",0.6
btc,699,35,11,9,12,4,8,23.5,-7.3,"""[22.58, 19.93, 2.92, 48.59]""","""[-10.55, -5.68, -13.28, -1.68, -14.51, -2.93, -5.88, -3.96]""",1.5
btc,699,24,11,10,11,4,7,23.1,-9.8,"""[21.87, 19.17, 2.92, 48.59]""","""[-14.38, -6.76, -14.45, -5.96, -12.14, -10.87, -3.96]""",1.0
btc,699,-10,11,11,7,3,4,12.3,-12.0,"""[17.36, 17.05, 2.57]""","""[-15.68, -7.99, -6.45, -17.84]""",-0.5
btc,699,-24,11,12,7,3,4,10.8,-14.3,"""[15.35, 15.66, 1.39]""","""[-22.21, -9.08, -8.22, -17.84]""",-1.1
btc,699,-16,11,13,6,2,4,14.4,-11.3,"""[15.35, 13.49]""","""[-15.68, -10.87, -18.28, -0.29]""",-0.7
btc,699,-24,11,14,6,2,4,12.4,-12.4,"""[19.53, 5.24]""","""[-16.99, -12.61, -19.04, -0.84]""",-1.1
btc,699,-25,11,15,6,2,4,10.6,-11.5,"""[15.92, 5.24]""","""[-17.98, -13.61, -10.36, -4.22]""",-1.1
btc,699,-30,11,16,6,2,4,10.6,-12.9,"""[15.92, 5.24]""","""[-19.74, -15.91, -11.51, -4.48]""",-1.3
btc,699,-40,11,17,6,2,4,9.3,-14.7,"""[13.38, 5.24]""","""[-21.65, -19.2, -11.51, -6.51]""",-1.7
btc,699,-49,11,18,6,2,4,6.4,-15.7,"""[11.65, 1.16]""","""[-24.37, -20.38, -11.51, -6.51]""",-2.1
btc,699,-55,11,19,6,1,5,11.6,-13.5,"""[11.65]""","""[-25.49, -20.38, -14.63, -0.38, -6.51]""",-2.4
btc,699,-24,11,20,4,1,3,11.1,-11.7,"""[11.1]""","""[-28.24, -0.38, -6.51]""",-1.0
btc,699,-18,11,21,4,1,3,10.0,-9.5,"""[10.01]""","""[-18.0, -3.05, -7.34]""",-0.8
btc,699,22,11,22,3,1,2,48.1,-12.8,"""[48.06]""","""[-18.3, -7.34]""",1.0
btc,699,32,12,7,18,6,12,17.3,-6.0,"""[0.33, 0.15, 28.54, 19.93, 8.72, 46.33]""","""[-6.78, -0.08, -10.59, -9.04, -3.83, -4.39, -8.41, -7.43, -3.96, -8.54, -4.22, -4.41]""",1.4
btc,699,9,12,8,17,4,13,23.7,-6.5,"""[24.74, 19.93, 3.87, 46.33]""","""[-8.56, -1.09, -13.28, -1.68, -13.09, -2.45, -5.23, -8.96, -8.78, -3.96, -8.87, -4.22, -4.8]""",0.4
btc,699,29,12,9,12,4,8,23.1,-7.8,"""[21.59, 19.17, 2.92, 48.59]""","""[-12.34, -2.02, -14.15, -1.68, -14.79, -2.93, -10.87, -3.96]""",1.3
btc,699,0,12,10,7,3,4,12.9,-9.6,"""[17.36, 18.72, 2.57]""","""[-15.68, -6.76, -3.72, -12.14]""",0.0
btc,699,-14,12,11,7,3,4,11.8,-12.4,"""[17.22, 15.66, 2.57]""","""[-17.41, -7.99, -6.45, -17.84]""",-0.6
btc,699,-27,12,12,7,3,4,10.0,-14.4,"""[15.35, 13.49, 1.13]""","""[-22.21, -9.34, -8.22, -17.84]""",-1.2
btc,699,-24,12,13,6,2,4,11.4,-11.8,"""[12.62, 10.16]""","""[-15.68, -12.61, -18.69, -0.41]""",-1.1
btc,699,-19,12,14,6,2,4,11.0,-10.4,"""[16.7, 5.24]""","""[-16.17, -12.61, -11.51, -1.23]""",-0.8
btc,699,-28,12,15,6,2,4,10.6,-12.4,"""[15.92, 5.24]""","""[-17.98, -13.77, -11.51, -6.51]""",-1.2
btc,699,-32,12,16,6,2,4,9.7,-13.1,"""[14.15, 5.24]""","""[-18.37, -15.91, -11.51, -6.51]""",-1.4
btc,699,-48,12,17,6,2,4,6.2,-15.1,"""[11.1, 1.22]""","""[-22.27, -19.2, -12.52, -6.51]""",-2.1
btc,699,-54,12,18,6,1,5,10.0,-12.8,"""[10.01]""","""[-24.37, -20.38, -12.52, -0.38, -6.51]""",-2.3
btc,699,5,12,19,4,1,3,49.5,-14.8,"""[49.53]""","""[-23.36, -14.63, -6.51]""",0.2
btc,699,12,12,20,3,1,2,48.1,-17.8,"""[48.06]""","""[-28.24, -7.34]""",0.5
