coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
xrp,681.8333333333333,-47.41157699502535,5,5,102,29,8.338192169836315,73,-3.961906163291485,-2.086063030824875,"""[0.1297341647522082, 32.053722978382694, 5.673049645390082, 1.541221374045804, 2.9141115221263214, 6.641573033707864, 2.8183483390251536, 7.747328244274809, 5.599629524080941, 3.3992458521870286, 0.7259587020648877, 14.053846153846147, 6.388794023479186, 1.607779886148, 5.831293612453036, 0.9218563724098757, 10.160115606936426, 1.7592964824120507, 1.3139827179889918, 9.075285070273143, 13.465372601517185, 5.579466544033111, 8.710192183113799, 59.365664788144436, 0.41145662847790554, 0.35231071779745926, 7.630524642289357, 20.919452449567725, 5.016959064327481]""","""[-5.887220548596811, -5.815658021133522, -4.225689613816261, -7.775649663137641, -6.0947299077733845, -2.9999064546304886, -0.8316435850535586, -1.788710439300895, -2.676891105569403, -3.3341862579555834, -5.857662560870812, -0.6319148936170164, -7.241253087805973, -6.041962229387377, -0.07466430200152294, -2.078957915831668, -6.1854865974402315, -6.840563211503883, -2.0830777366472786, -1.083519404572031, -5.489997408655102, -7.8803203661327235, -3.3364399160922917, -5.404806565064479, -4.168791946308731, -4.518557943362125, -1.9638925010836579, -2.8730375426621184, -0.5991680532445951, -1.9953752843062944, -4.966242038216562, -1.9843572534847775, -1.0940357852882712, -4.150991501416424, -7.3538860103626895, -5.164194008559198, -1.4022113022112954, -6.8821782178217905, -3.2023267450587998, -6.547658739887225, -5.70502881089575, -2.6932786451442263, -2.585301977552105, -2.9809908454496465, -7.708936076089357, -4.086965689093356, -1.386800545915393, -1.4896931094383294, -6.915578465063013, -3.8232917283689454, -5.500843881856531, -2.3780004218519366, -4.0260442821273665, -5.475733484762442, -10.479892555640825, -3.211653447223924, -4.066844286560107, -0.9550573514077149, -3.434711313214827, -3.4645655877342496, -2.6697273581949186, -2.2080873898045246, -3.159309309309326, -4.353745145182154, -2.207959022852648, -0.9109177215190077, -2.3916666666666666, -1.3045732952225433, -13.953727144866376, -4.701226993865035, -5.1953372856913855, -0.8880479395829957, -2.3777954762663236]"""
xrp,681.8333333333333,-53.76614408632001,5,6,83,23,9.144042058457917,60,-4.401318523847535,-2.3656577696254226,"""[29.80713048953251, 2.5799494878630567, 0.21569642631644734, 2.1575819393444933, 3.999605223200732, 2.8183483390251536, 7.747328244274809, 4.630692504987178, 2.747721822541969, 0.046498681511866535, 14.053846153846147, 5.576763397585255, 0.43590568060021484, 8.228530259366007, 1.1549019607843058, 9.075285070273143, 8.992886665216435, 5.579466544033111, 8.710192183113799, 55.733855145063664, 0.18577260665442177, 31.378537360890295, 4.456471158507029]""","""[-7.486363636363646, -2.6753158406219497, -5.839673390970215, -9.880654440848614, -0.5216073781291147, -1.788710439300895, -4.426809714689926, -3.8964876033057827, -0.6319148936170164, -9.958532272325382, -0.07466430200152294, -3.7521739130434897, -6.1854865974402315, -11.211111111111107, -3.1671602326811215, -1.8012227538543226, -6.990322580645161, -12.964864864864857, -5.9616647127784335, -4.168791946308731, -7.664026206075048, -3.4211913434754693, -3.128350515463918, -2.1590682196339475, -0.9485812781755452, -3.67675111773473, -5.400532589398928, -4.248747786491265, -1.5743407995463674, -1.3633352049410454, -0.3982107355864759, -6.278435114503824, -2.1004879238838705, -8.067639127237062, -5.976207887176813, -3.1037214247740503, -3.3457081545064375, -2.6795190069821526, -2.0494306118509935, -7.831568998109649, -4.034842394753545, -7.109539610120281, -2.951750891172154, -6.3101313320825545, -10.479892555640825, -2.276123652633728, -1.4493875856342133, -5.059822665558318, -2.8221526908635752, -2.2080873898045246, -6.203199556130927, -1.8139479905437432, -1.860907845822737, -0.4917727717923608, -2.3916666666666666, -2.915474984808593, -13.953727144866376, -5.45314797059763, -2.543792766373414, -2.9503562945368027]"""
xrp,681.8333333333333,-0.50255782056074,5,7,64,17,11.960318905938804,47,-4.336765515351497,-0.022112052725723107,"""[28.878435384857553, 0.13284481577866522, 3.8196105355136662, 2.106320810971979, 0.7072027320707828, 4.663331336129427, 4.374209176403532, 1.4689757252812394, 9.245794392523374, 2.560569528164618, 13.888010276905506, 32.29176346356914, 5.579466544033111, 8.05625670744796, 52.91607180129408, 32.510897306056286, 0.12566086395874723]""","""[-3.2244966983411136, -5.839673390970215, -0.9432147562582295, -1.5030946761080428, -4.046317303083568, -1.0533366783743165, -3.47888198757764, -12.934691501746224, -2.2434241862926694, -12.964864864864857, -6.547831184056277, -1.1422698320787472, -4.567281879194628, -3.987227680478427, -3.851865273928801, -2.1590682196339475, -1.2917372881355944, -1.9119747899159707, -4.099006458022852, -4.957070579306854, -2.1039514535704193, -2.6266704098820908, -2.9301886792452807, -0.359672812256557, -8.067639127237062, -6.123468057366365, -3.7440454185370955, -4.433868378812211, -5.433591931730017, -5.600526870389874, -3.498665554628865, -6.852471553814588, -4.509238404275626, -3.8667071688942904, -4.494491697043337, -5.059822665558318, -6.603181747633081, -2.2080873898045246, -6.203199556130927, -2.512710867006676, -0.9110300081103008, -1.9952715904650338, -5.479746835443044, -2.637878787878803, -13.953727144866376, -4.025985518905887, -4.844810363664755]"""
xrp,681.8333333333333,-12.577179118932452,5,8,53,16,11.724274037953718,37,-5.4098801007078885,-0.5533835838200541,"""[24.810086004691165, 7.229160146061544, 2.106320810971979, 0.08512804689910194, 3.1354703415218785, 3.635144312393885, 1.4689757252812394, 0.7569388240895139, 2.560569528164618, 13.888010276905506, 29.474861367837352, 5.119590710508162, 7.570940170940168, 52.91607180129408, 0.8063444108761338, 32.02477212882316]""","""[-4.474201787994888, -6.980133317462202, -3.2207598371777504, -4.322397062680291, -6.528015564202335, -2.608780732563976, -5.905335968379451, -3.1287068738477632, -13.586486486486486, -7.632239155920281, -1.1422698320787472, -5.196476510067112, -5.614782973369676, -2.1590682196339475, -5.581597494126864, -2.5778299426186773, -6.024287118977386, -4.957070579306854, -2.6266704098820908, -4.059683225341976, -1.0285530049006943, -8.067639127237062, -3.9978140637345225, -5.799381761978356, -7.109539610120281, -10.982461994809043, -11.751219973519943, -4.274228675136115, -4.9197650870797975, -7.137037037037032, -3.3746545523376836, -6.203199556130927, -2.9191072826938185, -5.423901712583759, -13.953727144866376, -0.05172968624296591, -4.844810363664755]"""
xrp,681.8333333333333,-15.000175450640915,5,9,44,10,16.657196413014976,34,-5.340357046493843,-0.6599930533159044,"""[21.761174675819984, 7.229160146061544, 2.1228474957794083, 26.34488299971807, 15.404772924501007, 29.474861367837352, 3.8440495299243276, 6.252891515407349, 24.049026248941562, 30.088297226159142]""","""[-5.520054200541993, -9.73006459189666, -5.329625696840987, -4.322397062680291, -6.621400778210107, -2.608780732563976, -6.827005870841493, -0.8848837209302268, -0.37641277641278004, -3.0725829725829654, -4.221022430881595, -13.586486486486486, -0.1, -0.22257405515832268, -3.0146571608303563, -7.01516709511569, -4.252781338118429, -6.7910866910866865, -7.866253478370859, -4.524040066777955, -3.2472081218274167, -5.597382198952884, -6.915578465063013, -4.579469099958525, -12.64446732821569, -7.172533654812127, -5.912069663831511, -8.937772397094431, -3.753227332954758, -6.203199556130927, -0.019678714859435453, -5.423901712583759, -13.953727144866376, -0.3246469833119315]"""
xrp,681.8333333333333,-9.152058281965099,5,10,37,9,15.993287808307745,28,-5.467558877026241,-0.40268161592611046,"""[21.761174675819984, 1.323785594639864, 26.00656893149139, 13.111845102505693, 27.88643714136672, 2.340677966101689, 6.252891515407349, 22.169263336155787, 23.08694601128123]""","""[-7.529536303416032, -1.0521454185730097, -4.322397062680291, -8.146692607003887, -4.406696539706243, -6.827005870841493, -1.7279069767441844, -2.4177798109179784, -3.0725829725829654, -4.873082942097036, -14.829729729729728, -1.120408163265307, -0.6498981670061059, -3.3190635451504953, -7.4913043478260954, -4.790288044863617, -5.358764607679458, -4.8208121827411174, -6.27801047120419, -6.915578465063013, -16.941730461100228, -7.692407592407578, -6.499351964358043, -8.937772397094431, -3.9992996403558494, -1.669640373534664, -5.423901712583759, -1.9778601862079883]"""
xrp,681.8333333333333,-29.427690511045462,5,11,31,8,14.852959981102735,23,-6.4457117547768386,-1.2947896093835698,"""[3.939485647486689, 23.892106005074712, 13.111845102505693, 24.542492339121544, 2.340677966101689, 5.539412997903572, 22.169263336155787, 23.288396454472206]""","""[-7.280073706951327, -10.57087980173482, -5.178416728902173, -7.276503186478243, -2.4177798109179784, -3.794083694083688, -0.4565551289083839, -11.29170984455959, -14.829729729729728, -2.4906705539358716, -3.0298848252172186, -7.370178249549369, -6.484576865297939, -5.915247634947127, -4.8208121827411174, -7.555683003128262, -17.671657468399495, -7.839876321563923, -6.499351964358043, -5.459477124182997, -1.669640373534664, -5.423901712583759, -2.924680448161595]"""
xrp,681.8333333333333,-1.1409757141588566,5,12,28,8,17.47395800298146,20,-7.046631986900526,-0.05020181582708243,"""[2.47395313100269, 23.892106005074712, 12.456947608200448, 24.542492339121544, 1.6401129943502788, 5.384613774335357, 46.11304171729444, 23.288396454472206]""","""[-7.280073706951327, -11.258930218260067, -8.006976744186046, -8.91130507065669, -3.4010296789824412, -4.198124098124095, -0.4565551289083839, -12.337583205325142, -9.613513513513515, -4.364647269828622, -9.272841978770279, -6.484576865297939, -8.10658075130244, -4.8208121827411174, -8.862350494019763, -17.760672957094528, -5.683566760037335, -1.7282764098490946, -5.423901712583759, -2.9603209915779467]"""
xrp,681.8333333333333,-24.493683878880965,5,13,25,8,13.34063582326963,17,-7.718751203825765,-1.0776981418231666,"""[0.9215664018161175, 18.893506493506504, 11.158091753447785, 26.024031007751926, 1.6401129943502788, 3.9041493775933573, 21.28865368331921, 22.894974874371858]""","""[-7.699440843817521, -8.006976744186046, -9.07755610972568, -5.555093429776975, -7.1115917444161685, -1.8414965986394607, -12.337583205325142, -9.613513513513515, -6.5274447949526735, -9.272841978770279, -7.38985866600545, -10.903400054839606, -6.507379705809025, -17.760672957094528, -6.038375350140045, -1.0493670886076, -4.526177679418277]"""
xrp,681.8333333333333,6.343535149285816,5,14,22,7,16.39879719224965,15,-7.229869679764116,0.2791093441387062,"""[28.309090909090923, 10.595187165775396, 26.024031007751926, 1.4367231638418017, 3.5099585062240717, 23.32887662453268, 21.58771296853076]""","""[-1.7322492889823162, -8.385677976871271, -8.006976744186046, -10.13047935716265, -5.725752105896508, -7.790132880972576, -3.108326618318572, -10.127027027027033, -9.272841978770279, -10.19858138975715, -10.903400054839606, -6.981077038145103, -8.416578322061778, -2.1152612013304593, -5.553683212140386]"""
xrp,681.8333333333333,-6.916411297127944,5,15,21,6,17.555907886299437,15,-7.483457240994969,-0.3043153345106404,"""[27.335064935064935, 10.507765897580194, 24.574329501915695, 0.1464157706093167, 23.32887662453268, 19.44299458809381]""","""[-3.9085816742920665, -9.456945491082644, -9.206487148102806, -11.626738708783604, -7.180968031072601, -3.1817076618603397, -11.883783783783775, -9.272841978770279, -10.318802596778069, -10.903400054839606, -7.355048616305163, -0.6996691480562361, -9.513269968927078, -2.1152612013304593, -5.628352550939824]"""
xrp,681.8333333333333,-5.033396373961999,5,16,20,6,19.169891618164858,14,-8.575196148782224,-0.22146451902057196,"""[24.35887445887447, 6.648633879781421, 24.574329501915695, 7.5836917562724, 33.432357473035445, 18.42146263910971]""","""[-3.9085816742920665, -9.921652851042458, -11.016506717850284, -12.500548696844998, -8.490157130151198, -3.509411101718794, -6.736155606407322, -11.996655317444423, -12.43469584034624, -10.903400054839606, -10.247095487409625, -9.513269968927078, -2.1152612013304593, -6.759354434346596]"""
