coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
xrp,682,-7,8,10,8,3,5,8.4,-6.6,"""[6.42, 7.31, 11.52]""","""[-17.82, -4.96, -0.86, -2.38, -7.19]""",-0.3
xrp,682,34,8,11,6,3,3,16.9,-5.5,"""[6.42, 7.31, 37.06]""","""[-7.15, -1.32, -8.05]""",1.5
xrp,682,21,8,12,6,3,3,13.9,-6.8,"""[6.42, 3.61, 31.77]""","""[-8.57, -2.55, -9.25]""",0.9
xrp,682,13,8,13,6,3,3,12.8,-8.3,"""[6.42, 3.61, 28.41]""","""[-9.62, -4.61, -10.58]""",0.6
xrp,682,-5,8,14,6,2,4,17.2,-9.8,"""[5.94, 28.41]""","""[-14.51, -6.53, -7.77, -10.58]""",-0.2
xrp,682,27,8,15,4,3,1,15.7,-19.8,"""[3.36, 15.89, 27.74]""","""[-19.8]""",1.2
xrp,682,13,8,16,4,2,2,18.3,-11.5,"""[12.27, 24.32]""","""[-19.8, -3.12]""",0.6
xrp,682,5,8,17,4,2,2,14.3,-11.5,"""[8.84, 19.8]""","""[-19.8, -3.12]""",0.3
xrp,682,-10,8,18,4,2,2,13.2,-18.7,"""[8.84, 17.57]""","""[-20.82, -16.52]""",-0.5
xrp,682,16,8,19,3,2,1,13.2,-10.1,"""[8.84, 17.57]""","""[-10.06]""",0.7
xrp,682,8,8,20,3,2,1,9.8,-11.5,"""[3.59, 15.96]""","""[-11.48]""",0.4
xrp,682,33,8,21,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
xrp,682,33,8,22,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
xrp,682,27,8,23,2,1,1,48.1,-20.8,"""[48.08]""","""[-20.81]""",1.2
xrp,682,25,8,24,2,1,1,46.7,-21.3,"""[46.68]""","""[-21.31]""",1.1
xrp,682,-7,9,6,17,7,10,12.2,-9.3,"""[0.95, 22.68, 7.39, 21.11, 6.61, 13.4, 13.43]""","""[-3.62, -14.02, -15.74, -6.83, -13.73, -9.57, -8.18, -9.22, -5.04, -6.81]""",-0.3
xrp,682,-29,9,7,16,7,9,10.3,-11.3,"""[0.95, 17.57, 3.26, 21.11, 4.5, 13.4, 11.27]""","""[-7.98, -14.66, -7.26, -22.08, -15.64, -10.39, -9.22, -5.04, -9.16]""",-1.3
xrp,682,31,9,8,8,5,3,9.8,-5.9,"""[22.77, 2.17, 9.69, 0.95, 13.4]""","""[-9.86, -2.86, -5.04]""",1.4
xrp,682,12,9,9,8,5,3,7.0,-7.6,"""[10.63, 1.43, 9.69, 0.59, 12.63]""","""[-12.85, -2.86, -7.19]""",0.5
xrp,682,-8,9,10,8,3,5,9.5,-7.4,"""[9.71, 7.31, 11.52]""","""[-21.24, -4.69, -0.86, -2.38, -8.05]""",-0.4
xrp,682,30,9,11,6,3,3,16.0,-5.7,"""[6.42, 3.61, 37.9]""","""[-7.15, -1.9, -8.05]""",1.4
xrp,682,21,9,12,6,3,3,13.9,-6.9,"""[6.42, 3.61, 31.77]""","""[-7.15, -2.98, -10.58]""",0.9
xrp,682,2,9,13,6,2,4,17.4,-8.2,"""[6.42, 28.41]""","""[-9.19, -6.53, -6.38, -10.58]""",0.1
xrp,682,4,9,14,5,2,3,16.4,-9.3,"""[4.36, 28.41]""","""[-13.64, -6.53, -7.77]""",0.2
xrp,682,31,9,15,4,3,1,15.4,-14.5,"""[2.58, 15.89, 27.74]""","""[-14.51]""",1.4
xrp,682,10,9,16,4,2,2,16.6,-11.5,"""[8.84, 24.32]""","""[-19.8, -3.12]""",0.5
xrp,682,9,9,17,4,2,2,16.2,-11.5,"""[8.84, 23.48]""","""[-19.8, -3.12]""",0.4
xrp,682,-7,9,18,4,2,2,14.3,-18.3,"""[8.84, 19.8]""","""[-20.1, -16.52]""",-0.4
xrp,682,-12,9,19,4,2,2,12.7,-18.8,"""[7.76, 17.57]""","""[-20.82, -16.79]""",-0.5
xrp,682,40,9,20,2,1,1,52.5,-11.5,"""[52.47]""","""[-11.48]""",1.8
xrp,682,33,9,21,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
xrp,682,33,9,22,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
xrp,682,28,9,23,2,1,1,49.5,-20.8,"""[49.48]""","""[-20.81]""",1.3
xrp,682,26,9,24,2,1,1,48.1,-21.3,"""[48.08]""","""[-21.31]""",1.2
xrp,682,-13,10,6,17,7,10,12.2,-9.9,"""[0.95, 22.68, 7.0, 21.11, 6.61, 13.4, 13.43]""","""[-2.47, -14.02, -15.74, -6.83, -22.08, -10.27, -7.77, -9.22, -5.04, -5.62]""",-0.6
xrp,682,-13,10,7,15,6,9,14.0,-10.8,"""[30.31, 3.26, 21.11, 4.5, 13.4, 11.27]""","""[-7.98, -14.66, -2.86, -22.08, -15.64, -10.39, -9.22, -5.04, -9.16]""",-0.6
xrp,682,3,10,8,10,5,5,9.5,-8.9,"""[22.77, 0.65, 9.69, 0.95, 13.4]""","""[-10.48, -2.86, -15.64, -10.39, -5.04]""",0.1
