coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
sol,682,10,8,9,9,3,6,34.2,-15.4,"""[5.88, 71.28, 25.32]""","""[-18.35, -16.1, -17.31, -19.67, -10.04, -10.96]""",0.4
sol,682,-28,8,10,9,3,6,25.7,-17.7,"""[1.05, 56.36, 19.83]""","""[-18.35, -16.29, -19.53, -27.22, -13.48, -11.29]""",-1.3
sol,682,-70,8,11,9,2,7,35.3,-20.1,"""[56.36, 14.2]""","""[-4.38, -23.63, -23.73, -28.7, -29.87, -16.01, -14.59]""",-3.1
sol,682,-80,8,12,8,2,6,33.9,-24.7,"""[53.53, 14.2]""","""[-27.81, -23.73, -28.97, -29.87, -17.9, -19.96]""",-3.5
sol,682,-38,8,13,6,2,4,33.3,-26.1,"""[52.84, 13.67]""","""[-30.45, -23.73, -30.25, -20.17]""",-1.7
sol,682,-65,8,14,6,2,4,29.4,-31.2,"""[46.5, 12.25]""","""[-32.84, -25.16, -44.51, -22.13]""",-2.9
sol,682,-70,8,15,5,2,3,25.9,-40.8,"""[43.43, 8.33]""","""[-40.5, -54.5, -27.31]""",-3.1
sol,682,-65,8,16,5,2,3,22.4,-36.8,"""[37.56, 7.26]""","""[-27.89, -54.5, -28.03]""",-2.9
sol,682,-91,8,17,5,2,3,17.1,-42.0,"""[31.82, 2.4]""","""[-29.26, -67.15, -29.5]""",-4.0
sol,682,-30,8,18,4,2,2,15.3,-30.6,"""[29.49, 1.06]""","""[-31.78, -29.5]""",-1.4
sol,682,-82,8,19,4,1,3,25.2,-35.9,"""[25.18]""","""[-72.87, -30.76, -4.12]""",-3.6
sol,682,-91,8,20,4,1,3,22.7,-37.9,"""[22.67]""","""[-73.38, -35.15, -5.26]""",-4.0
sol,682,-109,8,21,4,1,3,7.9,-39.0,"""[7.88]""","""[-73.81, -35.81, -7.37]""",-4.8
sol,682,-39,8,22,3,1,2,5.7,-22.5,"""[5.69]""","""[-36.98, -7.94]""",-1.7
sol,682,-44,8,23,3,1,2,4.0,-24.2,"""[4.01]""","""[-36.98, -11.48]""",-2.0
sol,682,-11,8,24,2,1,1,1.4,-12.8,"""[1.4]""","""[-12.82]""",-0.5
sol,682,41,9,6,14,5,9,28.9,-11.5,"""[5.35, 93.51, 5.11, 35.82, 4.9]""","""[-20.88, -0.05, -8.06, -15.97, -16.25, -9.4, -4.29, -14.08, -14.23]""",1.8
sol,682,49,9,7,10,3,7,43.4,-11.5,"""[16.22, 82.33, 31.7]""","""[-11.06, -11.87, -15.97, -14.98, -3.29, -7.26, -15.98]""",2.2
sol,682,36,9,8,9,3,6,37.4,-12.7,"""[11.61, 71.28, 29.45]""","""[-11.35, -14.55, -16.37, -19.67, -4.85, -9.31]""",1.6
sol,682,1,9,9,9,3,6,31.2,-15.4,"""[2.43, 71.28, 19.83]""","""[-18.35, -16.1, -17.31, -19.67, -10.04, -10.96]""",0.0
